name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,links,num_links,spotify_url,seguidores,popularidad,GéneroArtista,lastfm_url,seguidoresLast,youtube_url,subscriptores,wiki_url,premios,salaCiudad,VenueClass
Jamie Cullum,"Tickex Experience, S.L.",2024-06-14T20:00:00Z,2023-11-30T16:56:00Z,2024-06-12T21:59:00Z,30.01,59.29,Music,Music,Jamie Cullum,Jazz,Jazz,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCOrI5RFAhBgAGcOzCUVbeNQ'}], 'twitter': [{'url': 'https://twitter.com/jamiecullum'}], 'itunes': [{'url': 'https://music.apple.com/gb/artist/jamie-cullum/6934831'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Jamie_Cullum'}], 'facebook': [{'url': 'https://www.facebook.com/jamiecullum/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/3XxxEq6BREC57nCWXbQZ7o'}], 'musicbrainz': [{'id': 'b10806de-2198-4313-af6a-13df4acb912f'}], 'instagram': [{'url': 'https://www.instagram.com/jamiecullum/'}], 'homepage': [{'url': 'http://www.jamiecullum.com/'}]}",9,https://open.spotify.com/artist/3XxxEq6BREC57nCWXbQZ7o,516950.0,55.0,"['contemporary vocal jazz', 'jazz pop', 'neo mellow']",,,https://www.youtube.com/channel/UCOrI5RFAhBgAGcOzCUVbeNQ,209000.0,https://en.wikipedia.org/wiki/Jamie_Cullum,10.0,"Auditorio Starlite, Marbella",SALA
Sheryl Crow,"Tickex Experience, S.L.",2024-06-21T20:00:00Z,2023-11-28T20:57:00Z,2024-06-19T21:59:00Z,30.01,80.0,Music,Music,Sheryl Crow,Rock,Alternative Rock,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/channel/UC89Lupwwv9ANeuxfDRXo7mQ'}], 'twitter': [{'url': 'https://twitter.com/SherylCrow'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/sheryl-crow/58757'}], 'facebook': [{'url': 'https://www.facebook.com/sherylcrow'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Sheryl_Crow'}], 'spotify': [{'url': 'https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD'}], 'instagram': [{'url': 'https://www.instagram.com/SherylCrow'}], 'musicbrainz': [{'id': '80ccfede-c258-4575-a7ad-c982e9932e0f'}], 'homepage': [{'url': 'http://www.sherylcrow.com/'}]}",9,https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD,1137176.0,67.0,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",,,https://www.youtube.com/channel/UC89Lupwwv9ANeuxfDRXo7mQ,394000.0,https://en.wikipedia.org/wiki/Sheryl_Crow,0.0,"Auditorio Starlite, Marbella",SALA
Aitana,"Tickex Experience, S.L.",2024-06-22T20:00:00Z,2024-01-09T12:29:00Z,2024-06-20T21:59:00Z,65.18,146.43,Music,Music,Aitana,Pop,Pop Vocal,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCtakZatUqY-XaihWfMnz07w'}], 'twitter': [{'url': 'https://mobile.twitter.com/aitanax'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/aitana/1302824608'}], 'spotify': [{'url': 'https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/aitanax/'}]}",5,https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25?autoplay=true,2916984.0,72.0,"['latin talent show', 'latin viral pop', 'spanish pop']",,,https://www.youtube.com/channel/UCtakZatUqY-XaihWfMnz07w,2380000.0,,,"Auditorio Starlite, Marbella",SALA
Christian Nodal,"Tickex Experience, S.L.",2024-07-13T20:00:00Z,2023-11-28T21:00:00Z,2024-07-11T21:59:00Z,30.01,79.29,Music,Music,Christian Nodal,World,Latin,Individual,Musician,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCtqOng3GVhQVu1Gl-3UlyAQ'}], 'twitter': [{'url': 'https://twitter.com/elnodal'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/christian-nodal/1079597775'}], 'facebook': [{'url': 'https://www.facebook.com/christiannodaloficialmx'}], 'spotify': [{'url': 'https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP?autoplay=true'}], 'musicbrainz': [{'id': '7f464f95-2410-4040-a88e-1dbe96f17fcd'}], 'instagram': [{'url': 'https://www.instagram.com/nodal'}], 'homepage': [{'url': 'https://www.christiannodal.com/'}]}",8,https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP?autoplay=true,14273479.0,81.0,"['mariachi', 'musica mexicana', 'ranchera']",,,https://www.youtube.com/channel/UCtqOng3GVhQVu1Gl-3UlyAQ,11200000.0,,,"Auditorio Starlite, Marbella",SALA
Take That,"Tickex Experience, S.L.",2024-07-14T20:00:00Z,2023-11-28T21:00:00Z,2024-07-12T21:59:00Z,55.36,155.36,Music,Music,Take That,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/user/TakeThatVEVO'}, {'url': 'https://www.youtube.com/user/takeTHAT'}], 'twitter': [{'url': 'https://twitter.com/takethat'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/take-that/13653352'}], 'lastfm': [{'url': 'http://www.last.fm/music/Take+That'}], 'facebook': [{'url': 'https://www.facebook.com/takethat'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Take_That'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true'}], 'instagram': [{'url': 'https://instagram.com/takethat/'}, {'url': 'https://instagram.com/takethat'}], 'musicbrainz': [{'id': '24d2505b-388c-46cc-8a64-48223ea6d78d'}], 'homepage': [{'url': 'http://takethat.com/'}]}",10,https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true,1288784.0,65.0,"['boy band', 'europop', 'talent show']",http://www.last.fm/music/Take+That,1000000.0,https://www.youtube.com/user/TakeThatVEVO,,https://en.wikipedia.org/wiki/Take_That,35.0,"Auditorio Starlite, Marbella",SALA
Take That,"Tickex Experience, S.L.",2024-07-15T20:00:00Z,2023-10-24T08:30:00Z,2024-07-13T21:59:00Z,87.5,119.64,Music,Music,Take That,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/user/TakeThatVEVO'}, {'url': 'https://www.youtube.com/user/takeTHAT'}], 'twitter': [{'url': 'https://twitter.com/takethat'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/take-that/13653352'}], 'lastfm': [{'url': 'http://www.last.fm/music/Take+That'}], 'facebook': [{'url': 'https://www.facebook.com/takethat'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Take_That'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true'}], 'instagram': [{'url': 'https://instagram.com/takethat/'}, {'url': 'https://instagram.com/takethat'}], 'musicbrainz': [{'id': '24d2505b-388c-46cc-8a64-48223ea6d78d'}], 'homepage': [{'url': 'http://takethat.com/'}]}",10,https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ?autoplay=true,1288784.0,65.0,"['boy band', 'europop', 'talent show']",http://www.last.fm/music/Take+That,1000000.0,https://www.youtube.com/user/TakeThatVEVO,,https://en.wikipedia.org/wiki/Take_That,35.0,"Auditorio Starlite, Marbella",SALA
Tom Jones,"Tickex Experience, S.L.",2024-07-23T20:00:00Z,2024-01-11T14:40:00Z,2024-07-21T21:59:00Z,50.89,116.96,Music,Music,Tom Jones,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/user/OfficialTomJones'}], 'twitter': [{'url': 'https://twitter.com/RealSirTomJones'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/tom-jones/85054'}], 'lastfm': [{'url': 'https://www.last.fm/music/Tom+Jones'}], 'facebook': [{'url': 'https://www.facebook.com/SirTomJones/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1T0wRBO0CK0vK8ouUMqEl5?autoplay=true'}], 'musicbrainz': [{'id': '57c6f649-6cde-48a7-8114-2a200247601a'}], 'instagram': [{'url': 'https://www.instagram.com/realsirtomjones/'}], 'homepage': [{'url': 'http://www.tomjones.com/'}]}",9,https://open.spotify.com/artist/1T0wRBO0CK0vK8ouUMqEl5?autoplay=true,937541.0,65.0,"['adult standards', 'british invasion']",https://www.last.fm/music/Tom+Jones,1100000.0,https://www.youtube.com/user/OfficialTomJones,,,,"Auditorio Starlite, Marbella",SALA
Luis Miguel,Concert Music Entertainment SL,2024-07-24T19:30:00Z,2023-12-04T09:00:00Z,2024-07-24T21:00:00Z,150.0,6000.0,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Concert Music Festival,Chiclana de la Frontera,Cádiz,"{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]}",9,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true,14950927.0,82.0,"['bolero', 'latin pop']",,,https://www.youtube.com/OficialLuisMiguel,,https://en.wikipedia.org/wiki/Luis_Miguel,12.0,"Concert Music Festival, Chiclana de la Frontera",ESTADIO S
Diana Krall,"Tickex Experience, S.L.",2024-07-24T20:00:00Z,2023-11-28T21:00:00Z,2024-07-22T21:59:00Z,30.01,55.0,Music,Music,Diana Krall,Jazz,Jazz,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/user/DianaKrallVEVO'}], 'twitter': [{'url': 'http://twitter.com/dianakrall'}], 'lastfm': [{'url': 'http://www.last.fm/music/Diana+Krall'}], 'facebook': [{'url': 'https://www.facebook.com/dianakrall'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Diana_Krall'}], 'musicbrainz': [{'id': '67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98'}], 'homepage': [{'url': 'http://www.dianakrall.com/'}]}",7,None,,,,http://www.last.fm/music/Diana+Krall,1200000.0,https://www.youtube.com/user/DianaKrallVEVO,,https://en.wikipedia.org/wiki/Diana_Krall,0.0,"Auditorio Starlite, Marbella",SALA
Luis Miguel,"Tickex Experience, S.L.",2024-07-31T20:00:00Z,2023-11-25T18:51:00Z,2024-07-29T21:59:00Z,179.46,516.07,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]}",9,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true,14950927.0,82.0,"['bolero', 'latin pop']",,,https://www.youtube.com/OficialLuisMiguel,,https://en.wikipedia.org/wiki/Luis_Miguel,12.0,"Auditorio Starlite, Marbella",SALA
Los Secretos,"Tickex Experience, S.L.",2024-08-01T20:00:00Z,2023-12-07T17:20:00Z,2024-07-30T21:59:00Z,30.01,51.43,Music,Music,Los Secretos,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/user/lossecretos'}], 'twitter': [{'url': 'https://twitter.com/los_secretos'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/los-secretos/23969145'}], 'facebook': [{'url': 'https://www.facebook.com/lossecretos'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2KEDbpUlz9nwtGywHT4gyf?autoplay=true'}], 'musicbrainz': [{'id': 'ec5872e7-9d15-4624-b949-c82e700fd2e9'}], 'instagram': [{'url': 'https://www.instagram.com/lossecretos/?hl=en'}], 'homepage': [{'url': 'http://www.los-secretos.net/'}]}",8,https://open.spotify.com/artist/2KEDbpUlz9nwtGywHT4gyf?autoplay=true,442958.0,54.0,"['cantautor', 'latin arena pop', 'spanish new wave', 'spanish pop', 'spanish pop rock']",,,https://www.youtube.com/user/lossecretos,,,,"Auditorio Starlite, Marbella",SALA
Luis Miguel,"Tickex Experience, S.L.",2024-08-02T20:00:00Z,2023-11-25T18:51:00Z,2024-07-31T21:59:00Z,179.46,516.07,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,"{'youtube': [{'url': 'https://www.youtube.com/OficialLuisMiguel'}], 'twitter': [{'url': 'https://twitter.com/LMXLM?lang=es'}], 'itunes': [{'url': 'https://music.apple.com/ca/artist/luis-miguel/336904'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Luis_Miguel'}], 'facebook': [{'url': 'https://www.facebook.com/luismiguelofficial/'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true'}], 'musicbrainz': [{'id': '90270118-8ed0-4446-bf97-8a09b3f9e8f3'}], 'instagram': [{'url': 'https://www.instagram.com/lmxlm/'}], 'homepage': [{'url': 'http://www.luismigueloficial.com/'}]}",9,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW?autoplay=true,14950927.0,82.0,"['bolero', 'latin pop']",,,https://www.youtube.com/OficialLuisMiguel,,https://en.wikipedia.org/wiki/Luis_Miguel,12.0,"Auditorio Starlite, Marbella",SALA
