name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
Jamie Cullum,"Tickex Experience, S.L.",2024-06-14T20:00:00Z,2023-11-30T16:56:00Z,2024-06-12T21:59:00Z,30.01,59.29,Music,Music,Jamie Cullum,Jazz,Jazz,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,516950,55,0,209000,10,SALA,3
Sheryl Crow,"Tickex Experience, S.L.",2024-06-21T20:00:00Z,2023-11-28T20:57:00Z,2024-06-19T21:59:00Z,30.01,80.0,Music,Music,Sheryl Crow,Rock,Alternative Rock,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,1137176,67,0,394000,0,SALA,5
Aitana,"Tickex Experience, S.L.",2024-06-22T20:00:00Z,2024-01-09T12:29:00Z,2024-06-20T21:59:00Z,65.18,146.43,Music,Music,Aitana,Pop,Pop Vocal,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,5,2916984,72,0,2380000,0,SALA,3
Christian Nodal,"Tickex Experience, S.L.",2024-07-13T20:00:00Z,2023-11-28T21:00:00Z,2024-07-11T21:59:00Z,30.01,79.29,Music,Music,Christian Nodal,World,Latin,Individual,Musician,Auditorio Starlite,Marbella,Málaga,8,14273479,81,0,11200000,0,SALA,3
Take That,"Tickex Experience, S.L.",2024-07-14T20:00:00Z,2023-11-28T21:00:00Z,2024-07-12T21:59:00Z,55.36,155.36,Music,Music,Take That,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,10,1288784,65,1000000,0,35,SALA,3
Take That,"Tickex Experience, S.L.",2024-07-15T20:00:00Z,2023-10-24T08:30:00Z,2024-07-13T21:59:00Z,87.5,119.64,Music,Music,Take That,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,10,1288784,65,1000000,0,35,SALA,3
Tom Jones,"Tickex Experience, S.L.",2024-07-23T20:00:00Z,2024-01-11T14:40:00Z,2024-07-21T21:59:00Z,50.89,116.96,Music,Music,Tom Jones,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,937541,65,1100000,0,0,SALA,2
Luis Miguel,Concert Music Entertainment SL,2024-07-24T19:30:00Z,2023-12-04T09:00:00Z,2024-07-24T21:00:00Z,150.0,6000.0,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Concert Music Festival,Chiclana de la Frontera,Cádiz,9,14950927,82,0,0,12,ESTADIO S,2
Diana Krall,"Tickex Experience, S.L.",2024-07-24T20:00:00Z,2023-11-28T21:00:00Z,2024-07-22T21:59:00Z,30.01,55.0,Music,Music,Diana Krall,Jazz,Jazz,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,7,0,0,1200000,0,0,SALA,0
Luis Miguel,"Tickex Experience, S.L.",2024-07-31T20:00:00Z,2023-11-25T18:51:00Z,2024-07-29T21:59:00Z,179.46,516.07,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,14950927,82,0,0,12,SALA,2
Los Secretos,"Tickex Experience, S.L.",2024-08-01T20:00:00Z,2023-12-07T17:20:00Z,2024-07-30T21:59:00Z,30.01,51.43,Music,Music,Los Secretos,Rock,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,8,442958,54,0,0,0,SALA,5
Luis Miguel,"Tickex Experience, S.L.",2024-08-02T20:00:00Z,2023-11-25T18:51:00Z,2024-07-31T21:59:00Z,179.46,516.07,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,14950927,82,0,0,12,SALA,2
Luis Miguel,"Tickex Experience, S.L.",2024-08-03T20:00:00Z,2024-01-17T16:34:00Z,2024-08-01T21:59:00Z,179.46,516.07,Music,Music,Luis Miguel,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,14950927,82,0,0,12,SALA,2
Antonio José,"Tickex Experience, S.L.",2024-08-06T20:00:00Z,2023-11-30T17:00:00Z,2024-08-04T21:59:00Z,30.01,79.29,Music,Music,Antonio José,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,5,535029,61,0,912000,0,SALA,2
Hauser,"Tickex Experience, S.L.",2024-08-07T20:00:00Z,2024-01-18T11:00:00Z,2024-08-05T21:59:00Z,35.71,78.57,Music,Music,HAUSER,Classical,Classical/Vocal,Individual,Musician,Auditorio Starlite,Marbella,Málaga,6,286715,55,0,3060000,0,SALA,1
Miguel Poveda - Poema del Cante Jondo,"Tickex Experience, S.L.",2024-08-08T20:00:00Z,2023-11-30T16:57:00Z,2024-08-06T21:59:00Z,30.01,54.29,Music,Music,Miguel Poveda,World,Flamenco,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,189803,47,0,0,0,SALA,4
Gordo,CONCERT TOUR Y EN VIVO AIE,2024-08-08T21:45:00Z,2023-11-27T11:00:00Z,2024-08-08T21:59:00Z,25.0,30.0,Music,Music,Gordo,Dance/Electronic,Dance/Electronic,Individual,Musician,Concert Music Festival,Chiclana de la Frontera,Cádiz,0,0,0,0,0,0,ESTADIO S,0
UB40 Featuring Ali Campbell in memory of Astro,"Tickex Experience, S.L.",2024-08-09T20:00:00Z,2024-01-09T11:46:00Z,2024-08-07T21:59:00Z,30.01,65.18,Music,Music,UB40 Featuring Ali Campbell in memory of Astro,Reggae,Reggae,Group,Band,Auditorio Starlite,Marbella,Málaga,3,5914,19,0,0,0,SALA,0
La Oreja de Van Gogh,"Tickex Experience, S.L.",2024-08-14T20:00:00Z,2023-11-28T20:04:00Z,2024-08-12T21:59:00Z,30.01,66.43,Music,Music,La Oreja de Van Gogh,World,Latin,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,9,3678879,72,0,2800000,0,SALA,5
