Nombre del Evento,Fecha del Evento,Hora del Evento,Precio Mínimo,Precio Máximo
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-17,20:00:00,195.0,195.0
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-18,20:00:00,195.0,195.0
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-02,20:00:00,195.0,195.0
P!NK: Summer Carnival 2024,2024-08-21,18:30:00,59.11,340.0
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-15,20:00:00,195.0,195.0
P!NK: Summer Carnival 2024,2024-11-06,18:30:00,30.0,374.95
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-02-24,20:00:00,195.0,195.0
P!NK: Summer Carnival 2024,2024-08-24,18:30:00,49.95,349.95
P!NK: Summer Carnival 2024,2024-08-10,18:30:00,39.95,339.95
P!NK: Summer Carnival 2024,2024-08-18,18:30:00,49.95,319.95
P!NK: Summer Carnival 2024,2024-10-06,18:30:00,49.95,330.0
U2:UV Achtung Baby Live At Sphere - General Admission Floor,2024-03-01,20:00:00,195.0,195.0
P!NK: Summer Carnival 2024,2024-10-03,18:30:00,56.0,326.0
P!NK: Summer Carnival 2024,2024-10-01,18:30:00,49.95,319.95
P!NK Live 2024,2024-09-03,19:30:00,74.0,384.0
P!NK: Summer Carnival 2024,2024-10-12,18:30:00,49.95,299.95
P!NK Live 2024,2024-09-04,19:30:00,63.95,299.95
U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-10,20:00:00,95.0,375.0
Eagles - The Long Goodbye,2024-02-10,19:30:00,145.5,495.5
U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-03-01,20:00:00,95.0,375.0
U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-09,20:00:00,95.0,375.0
U2:UV Achtung Baby Live At Sphere - Reserved Seating,2024-02-23,20:00:00,95.0,375.0
