name,EventStartTime,SalesStartTIme,SalesEndTime,min_price,max_price,nameArtist,VenueName,VenueCity,VenueState,num_links,seguidoresSpotify,popularidad,subsYT,VenueClass,NumGeneros,peso_promotor,tiene_lastfm_url,Generos_combinados,conciertos_del_artista_en_ciudad,tiene_twitter,tiene_instagram,tiene_itunes,tiene_homepage,Adult Contemporary,Alternative,Alternative Rock,Ballads/Romantic,Blues,Classical,Classical/Vocal,Club Dance,Dance,Dance/Electronic,Flamenco,Folk,Funky Breaks,Hard Rock,Heavy Metal,Hip-Hop/Rap,Indie Pop,Jazz,Jazz Blues,K-Pop,Latin,Latin Pop,Metal,New Wave,Other,Performance Art,Pop,Pop Metal,Pop Rock,Pop Vocal,Psychedelic,R&B,Reggae,Rock,Singer-Songwriter,Soul,Urban,World,tiene_wiki,tiene_youtube,dias_Venta,dias_desdeFinVenta,num_noches
Jamie Cullum,2024-06-14 20:00:00+00:00,2023-11-30 16:56:00+00:00,2024-06-12 21:59:00+00:00,30.01,59.29,Jamie Cullum,Auditorio Starlite,Marbella,Málaga,9,517061.0,55.0,209000.0,0,3,65,0,Jazz,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,195,1,1
Sheryl Crow,2024-06-21 20:00:00+00:00,2023-11-28 20:57:00+00:00,2024-06-19 21:59:00+00:00,30.01,80.0,Sheryl Crow,Auditorio Starlite,Marbella,Málaga,9,1138312.0,67.0,394000.0,0,5,65,0,"Rock,Alternative Rock",2.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,204,1,1
Aitana,2024-06-22 20:00:00+00:00,2024-01-09 12:29:00+00:00,2024-06-20 21:59:00+00:00,65.18,146.43,Aitana,Auditorio Starlite,Marbella,Málaga,5,2918356.0,72.0,2380000.0,0,3,65,0,"Pop,Pop Vocal",7.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,163,1,1
Christian Nodal,2024-07-13 20:00:00+00:00,2023-11-28 21:00:00+00:00,2024-07-11 21:59:00+00:00,30.01,79.29,Christian Nodal,Auditorio Starlite,Marbella,Málaga,8,14280297.0,81.0,11200000.0,0,3,65,0,"World,Latin",2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,226,1,1
Take That,2024-07-14 20:00:00+00:00,2023-11-28 21:00:00+00:00,2024-07-12 21:59:00+00:00,55.36,155.36,Robbie Williams,Auditorio Starlite,Marbella,Málaga,10,1289403.0,65.0,1716398.4314720812,0,3,65,1,"Rock,Pop",4.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,227,1,1
Take That,2024-07-15 20:00:00+00:00,2023-10-24 08:30:00+00:00,2024-07-13 21:59:00+00:00,87.5,119.64,Robbie Williams,Auditorio Starlite,Marbella,Málaga,10,1289403.0,65.0,1716398.4314720812,0,3,65,1,"Rock,Pop",4.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,263,1,1
Tom Jones,2024-07-23 20:00:00+00:00,2024-01-11 14:40:00+00:00,2024-07-21 21:59:00+00:00,50.89,116.96,Tom Jones,Auditorio Starlite,Marbella,Málaga,9,938336.0,65.0,1716398.4314720812,0,2,65,1,"Rock,Pop",2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,192,1,1
Diana Krall,2024-07-24 20:00:00+00:00,2023-11-28 21:00:00+00:00,2024-07-22 21:59:00+00:00,30.01,55.0,Diana Krall,Auditorio Starlite,Marbella,Málaga,7,4564084.492307693,60.90461538461538,1716398.4314720812,0,1,65,1,Jazz,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,237,1,1
Luis Miguel,2024-07-31 20:00:00+00:00,2023-11-25 18:51:00+00:00,2024-07-29 21:59:00+00:00,179.46,516.07,Luis Miguel,Auditorio Starlite,Marbella,Málaga,9,14968817.0,82.0,1716398.4314720812,0,2,65,0,"World,Latin",6.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,247,1,6
Los Secretos,2024-08-01 20:00:00+00:00,2023-12-07 17:20:00+00:00,2024-07-30 21:59:00+00:00,30.01,51.43,Los Secretos,Auditorio Starlite,Marbella,Málaga,8,443129.0,54.0,1716398.4314720812,0,5,65,0,"Rock,Pop",2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,236,1,1
